"County","sales","expense","income average"
"Taipei",122838,14.83,704024
"Tainan",24689,14.56,430680
"New Taipei City",41719,13.1,506143
"Kaohsiung",41982,11.56,487309
"Taichung",35856,10.56,511603
"Hsinchu County",9665,22.57,569021
"Hsinchu",16017,12.27,604880
"Taoyuan County",35998,11.67,509530
"Pingtung County",3520,23.74,429733
"Hualien County",1614,19.54,475333
"Miaoli County",6231,17.11,432448
"Chiayi City",2131,19.58,474522
"Yilan County",2545,20.81,406145
"Changhua County",12930,12.3,417594
"Penghu County",249,28.51,412705
"Yunlin County",14071,16.57,412278
"Chiayi County",2658,24.22,392155
"Taitung",670,20.95,411274
"Keelung",1674,22.07,467203
"Nantou County",2510,14.87,405789
