"","ID","danger"
"1","0","NO"
"2","4","NO"
"3","7","NO"
"4","8","NO"
"5","13","NO"
"6","16","NO"
"7","20","NO"
"8","22","NO"
"9","23","NO"
"10","25","NO"
"11","26","NO"
"12","28","NO"
"13","30","NO"
"14","31","NO"
"15","32","YES"
"16","33","NO"
"17","34","NO"
"18","35","NO"
"19","37","YES"
"20","39","YES"
"21","43","NO"
"22","44","NO"
"23","45","NO"
"24","47","NO"
"25","48","NO"
"26","51","NO"
"27","52","NO"
"28","53","NO"
"29","56","NO"
"30","57","NO"
"31","60","NO"
"32","61","YES"
"33","63","NO"
"34","64","NO"
"35","67","NO"
"36","68","NO"
"37","73","NO"
"38","76","YES"
"39","80","NO"
"40","81","NO"
"41","82","YES"
"42","83","NO"
"43","84","YES"
"44","85","NO"
"45","87","NO"
"46","88","NO"
"47","90","NO"
"48","94","NO"
"49","95","YES"
"50","96","NO"
"51","98","NO"
"52","132","NO"
"53","135","NO"
"54","145","NO"
"55","148","NO"
"56","149","NO"
"57","150","NO"
"58","155","NO"
"59","157","NO"
"60","158","NO"
"61","160","NO"
"62","164","NO"
"63","167","NO"
"64","170","YES"
"65","173","NO"
"66","175","NO"
"67","176","NO"
"68","178","NO"
"69","179","NO"
"70","180","NO"
"71","186","NO"
"72","189","NO"
"73","191","NO"
"74","193","NO"
"75","196","YES"
"76","203","NO"
"77","204","NO"
"78","205","NO"
"79","206","NO"
"80","207","YES"
"81","208","YES"
"82","211","NO"
"83","212","NO"
"84","216","NO"
"85","217","NO"
"86","218","YES"
"87","219","NO"
"88","220","YES"
"89","222","NO"
"90","223","NO"
"91","224","NO"
"92","225","NO"
"93","226","NO"
"94","228","NO"
"95","232","NO"
"96","233","NO"
"97","234","YES"
"98","235","NO"
"99","236","NO"
"100","237","NO"
"101","238","NO"
"102","239","NO"
"103","241","YES"
"104","244","NO"
"105","245","NO"
"106","248","NO"
"107","249","YES"
"108","250","NO"
"109","251","NO"
"110","252","NO"
"111","253","NO"
"112","254","NO"
"113","256","NO"
"114","257","NO"
"115","258","NO"
"116","259","NO"
"117","262","YES"
"118","278","NO"
"119","281","YES"
"120","290","NO"
"121","291","NO"
"122","292","NO"
"123","293","YES"
"124","296","NO"
"125","297","YES"
"126","298","NO"
"127","300","NO"
"128","301","NO"
"129","303","NO"
"130","304","NO"
"131","305","NO"
"132","306","NO"
"133","307","NO"
"134","308","NO"
"135","309","NO"
"136","310","NO"
"137","311","NO"
"138","312","NO"
"139","313","NO"
"140","314","NO"
"141","315","NO"
"142","316","NO"
"143","317","NO"
"144","318","NO"
"145","319","NO"
"146","320","NO"
"147","321","NO"
"148","322","NO"
"149","323","NO"
"150","324","NO"
"151","325","NO"
"152","329","NO"
"153","330","NO"
"154","332","NO"
"155","336","NO"
"156","339","NO"
"157","349","NO"
"158","350","NO"
"159","351","NO"
"160","352","NO"
"161","353","NO"
"162","354","NO"
"163","355","NO"
"164","360","YES"
"165","362","NO"
"166","365","NO"
"167","368","NO"
"168","370","YES"
"169","371","NO"
"170","372","NO"
"171","377","NO"
