Date,Open,High,Low,Close,Volume,Adj Close
2015-11-30,136.50,139.00,136.00,139.00,108490000,139.00
2015-11-27,143.00,143.00,139.00,139.00,23135000,139.00
2015-11-26,141.00,142.50,140.00,142.50,31976000,142.50
2015-11-25,139.50,141.00,138.50,141.00,27099000,141.00
2015-11-24,140.00,141.50,139.50,139.50,21843000,139.50
2015-11-23,141.00,141.50,140.00,141.00,17170000,141.00
2015-11-20,140.50,141.00,140.00,141.00,20271000,141.00
2015-11-19,138.50,140.50,138.00,140.50,27426000,140.50
2015-11-18,139.50,140.00,136.50,137.00,29074000,137.00
2015-11-17,138.00,140.00,137.50,138.50,28188000,138.50
2015-11-16,134.00,135.50,134.00,135.00,32110000,135.00
2015-11-13,137.50,139.00,136.00,136.00,21639000,136.00
2015-11-12,138.50,139.00,138.00,138.50,16474000,138.50
2015-11-11,140.50,140.50,136.50,137.50,29412000,137.50
2015-11-10,141.50,141.50,139.00,139.50,23307000,139.50
2015-11-06,144.00,144.00,139.00,140.00,45683000,140.00
2015-11-05,144.00,144.50,142.50,142.50,35773000,142.50
2015-11-04,141.50,144.50,141.00,144.50,75144000,144.50
2015-11-03,138.50,140.00,138.00,139.50,33082000,139.50
2015-11-02,138.50,138.50,135.50,137.50,21663000,137.50
2015-10-30,137.00,137.50,136.00,136.50,27844000,136.50
2015-10-29,139.00,139.50,136.50,136.50,20428000,136.50
2015-10-28,137.00,139.00,137.00,138.00,22522000,138.00
2015-10-27,138.50,140.00,137.50,139.00,26012000,139.00
2015-10-26,140.50,140.50,139.00,140.00,24382000,140.00
2015-10-23,140.00,140.50,139.00,140.00,35644000,140.00
2015-10-22,138.00,138.50,137.00,137.50,15149000,137.50
2015-10-21,139.50,140.00,137.50,138.50,17976000,138.50
2015-10-20,139.00,139.00,137.50,139.00,27462000,139.00
2015-10-19,138.50,139.00,137.00,138.00,26150000,138.00
2015-10-16,137.00,137.50,136.00,137.50,36196000,137.50
2015-10-15,139.00,141.00,139.00,140.00,57142000,140.00
2015-10-14,136.50,137.50,136.00,136.50,18007000,136.50
2015-10-13,138.50,138.50,136.00,137.50,36108000,137.50
2015-10-12,137.00,139.00,136.50,138.50,46971000,138.50
2015-10-09,136.00,136.00,136.00,136.00,000,136.00
2015-10-08,137.00,137.00,135.00,136.00,31144000,136.00
2015-10-07,133.50,135.00,133.00,135.00,31784000,135.00
2015-10-06,135.00,135.50,132.50,133.00,48613000,133.00
2015-10-05,133.00,133.50,131.50,132.50,30276000,132.50
2015-10-02,132.50,132.50,131.50,132.00,25216000,132.00
2015-10-01,131.00,134.00,129.50,133.50,49600000,133.50
2015-09-30,128.00,131.00,127.00,130.00,67112000,130.00
2015-09-29,127.00,127.00,127.00,127.00,000,127.00
2015-09-28,127.00,127.00,127.00,127.00,000,127.00
2015-09-25,127.00,127.50,125.00,127.00,24630000,127.00
2015-09-24,127.00,128.00,125.50,127.00,43432000,127.00
2015-09-23,127.00,127.50,124.50,124.50,32905000,124.50
2015-09-22,130.00,130.00,128.50,129.00,17636000,129.00
2015-09-21,130.00,130.00,128.50,129.50,29930000,129.50
2015-09-18,129.50,131.50,129.00,131.50,31937000,131.50
2015-09-17,130.50,131.50,130.00,131.00,49472000,131.00
2015-09-16,128.00,130.00,127.50,129.50,39923000,129.50
2015-09-15,127.50,128.00,125.50,126.00,21658000,126.00
2015-09-14,128.00,129.00,126.00,127.50,25508000,127.50
2015-09-11,125.50,127.50,124.00,127.50,20525000,127.50
2015-09-10,127.00,128.00,125.00,125.00,32912000,125.00
2015-09-09,126.50,129.00,126.50,129.00,53588000,129.00
2015-09-08,122.50,123.50,122.00,123.00,15090000,123.00
2015-09-07,124.50,126.00,122.00,122.50,25891000,122.50
2015-09-04,126.50,127.00,123.50,125.00,22006000,125.00
